RECORD_TIME,H_WIND_AMOUNT,H_COLD_PRESS,H_QLWC,H_FYL,H_PRESS_DIFF,H_LYL,H_SF,H_ACT_FS,H_GDFN,OFT,TS,GFD,BFC
2023-04-10 06:00:00,5919.18,437.34,1.61,4.29,175.74,43.37,18.45,254.71,13194.29,1,1,1,1
2023-08-17 22:00:00,6074.98,425.38,1.97,4.04,164.62,44.56,1.82,232.86,11336.89,5,1,1,3
2023-12-24 00:00:00,6033.15,427.21,3.53,6.21,171.63,47.77,5.8,266.25,14701.07,1,1,1,1
2023-07-22 05:00:00,5889.77,439.15,0.0,5.08,177.87,45.84,4.84,254.02,13070.03,4,2,2,1
2023-11-10 03:00:00,5945.78,429.81,2.53,3.83,175.72,47.98,2.99,262.55,14080.69,5,3,3,1
2023-02-28 12:00:00,5924.71,432.94,2.1,4.86,172.24,47.48,19.21,262.51,14036.53,4,1,1,1
2023-12-21 19:00:00,6053.19,428.56,2.7,6.22,173.26,46.89,5.93,264.86,14581.06,2,1,1,1
2023-04-12 17:00:00,5667.15,420.13,1.77,1.73,171.56,43.77,16.98,246.26,11819.7,2,2,2,3
2023-07-12 21:00:00,5943.43,437.0,0.0,5.03,174.82,45.11,7.83,258.94,13697.79,4,1,1,1
2023-08-23 13:00:00,6037.59,428.84,2.48,4.95,167.62,43.96,1.98,272.52,15398.36,5,1,1,1
2023-10-31 01:00:00,5805.75,422.96,2.47,2.92,171.52,46.86,3.24,256.37,13109.54,1,1,1,1
2023-08-11 04:00:00,5850.7,434.28,0.97,5.54,173.64,46.06,1.11,259.47,13535.28,3,1,1,1
2024-02-27 01:00:00,6035.79,435.52,1.98,6.0,179.15,47.69,21.02,270.36,15157.62,1,1,1,1
